Sequence,Score
X9/5/X4/XX3/5/5/7,185
X9/X3/X9/X2/XX53,203
X3/X-/3/7/XX4/X60,190
2/XXXX2/1/XX7/3,213
4/1/XXX4/5/8/9/X54,196
XXX3/7/2/7/3/XX89,207
4/XX8/3/X3/X-/X39,203
X6/2/6/XX-/7/2/X110,171
9/3/3/XXX9/X8/X34,202
XXXXXXXX7/X109,268
XX4/6/X-/XX3/X19,203
X6/4/X4/XXX6/6/1,197
9/-/XX8/X8/XXX61,211
6/X-/X8/XXXX4/7,221
5/2/2/XXXXX5/3/9,211
7/7/2/XX6/3/XX5/1,184
2/X4/9/XX6/XXX109,217
XXXXX3/8/X6/X99,239
XXX7/7/XXXX7/1,232
-/8/-/9/XX4/1/8/X67,183
XX7/X2/6/XX5/2/5,195
5/2/X2/3/2/1/XXX68,188
7/XX1/X2/6/2/X1/4,183
X-/X4/XXXX9/4/4,217
9/5/-/8/9/2/X-/XX107,174
2/XXXXX7/X3/1/1,219
4/X8/XX2/2/-/X6/1,175
5/2/X6/X8/XXXX107,212
XXX-/XXX1/XX14,217
X5/X3/2/8/4/XX3/6,183
XX5/2/5/5/X5/XX810,203
3/1/X1/-/-/X8/8/7/2,158
XXX7/2/X5/X9/X56,210
7/X9/8/1/X2/1/XX95,193
3/4/9/-/4/XX2/XX64,185
7/4/X3/-/8/X3/XX51,183
XX-/6/XX3/5/XX101,188
X6/XXXX9/9/7/X62,223
5/XXXX2/X4/X-/2,214
XX8/XX4/8/XX1/9,210
4/XXX-/6/2/8/7/X47,194
1/8/XX8/6/3/XX7/8,200
3/XX5/X2/XXXX81,232
X7/XX3/9/XX1/1/0,184
5/6/XXXX1/5/6/3/9,200
8/8/X4/X6/XXX-/5,203
4/X2/X7/-/9/9/X4/7,185
8/X4/2/3/X9/X-/5/4,174
2/X1/7/-/-/5/X8/4/2,158
X3/6/4/1/XX9/X9/3,183
XX6/XXXXXXX41,255
7/XXX1/XXXX3/1,225
XX-/XXXXXX8/4,242
8/XXXX2/XXX7/10,231
XXXXXX3/5/X9/2,230
XX3/3/X5/X1/8/6/5,185
8/2/9/5/XXXXXX82,234
XXXXX-/XX8/1/0,219
7/5/4/6/XX-/X-/X05,180
6/4/9/XXXXX8/2/3,216
4/5/6/X2/4/X7/2/X76,180
XXXX7/8/1/XXX51,227
XXX3/X9/3/XXX10,208
4/9/-/X8/X5/-/XX310,180
XX9/XXXX4/XX86,245
2/8/1/6/X8/XXX9/6,200
5/9/XXXX3/8/X4/3,213
X2/XX8/1/7/9/XX10,187
X1/5/XX9/2/XX9/7,202
1/8/2/X-/XX2/XX810,208
X7/7/X-/X-/X-/3/4,184
X-/X1/9/X8/7/XX71,201
5/XXX3/XX-/X7/6,209
6/XX3/8/XXX6/3/8,208
X5/5/X5/9/1/4/XX39,184
XXX1/1/8/6/6/XX10,184
6/2/X-/XXX5/X8/10,199
8/X7/5/1/XXX2/X101,191
3/X1/4/X4/X9/X3/4,188
5/XXXX2/7/3/1/X86,207
X5/2/XX2/X-/8/8/10,182
-/6/4/XXX5/XX6/4,205
X2/XXXX9/8/8/4/6,215
7/X7/X9/X8/XX1/10,193
6/X5/X3/5/X-/X9/1,186
1/-/3/X8/X9/XXX64,199
X3/XX5/9/7/-/XX89,206
5/XX2/XX2/2/XX80,202
X-/X7/9/XX9/XX06,204
9/7/-/XXXXXXX109,239
X1/-/6/XXX6/XX44,204
5/5/X8/5/7/7/3/X7/10,169
X9/7/XX2/XX-/X81,198
X-/4/4/-/7/2/3/-/X70,147
7/3/XXXXXX3/X75,238
6/9/5/9/9/X9/-/5/9/4,170
X7/4/XXXXX6/5/7,222
-/3/X-/1/7/6/3/X4/2,162
XX1/XX3/-/XX7/9,200
1/X5/7/1/X2/6/-/X31,168
4/4/3/-/X7/6/XX1/8,172
X8/3/X-/6/XX2/X69,196
XXX7/8/8/XX-/X81,212
4/-/5/2/5/X7/5/XX510,174
XXXX4/6/X7/1/X18,210
1/XXX1/XX9/-/X32,205
X3/7/X9/9/XXX4/10,202
X6/X8/5/3/4/5/-/X21,160
6/XX1/8/X2/X7/9/4,192
XX6/XXX2/X-/X61,215
7/X1/9/9/X2/-/-/5/10,165
X3/6/XX2/5/XXX11,196
8/4/XX4/9/8/4/3/4/1,167
2/XXXXX1/XXX102,236
XXX2/X6/-/4/XX32,194
5/-/XXX7/XXXX68,237
6/X8/6/3/6/X9/9/3/1,168
XXX4/XX-/4/7/1/3,189
6/XX6/X8/8/XXX105,212
7/3/-/1/2/8/8/2/X2/8,152
XXX6/X1/XX4/8/7,215
X7/4/3/-/2/3/9/XX83,170
1/X9/XXX5/4/7/7/1,194
X9/XX8/X5/-/1/4/9,182
XXXXX-/2/X5/X76,225
3/X2/XX8/X4/X2/4,202
5/X7/X6/XX-/X7/8,198
XX-/X4/XX9/5/X00,194
2/X-/XXXXXX-/10,232
XX4/X8/X6/3/XX17,196
XXXX6/4/XX9/X12,222
XX1/9/4/XX3/9/X34,193
XXX7/XXX-/XX103,223
X7/4/-/4/XXX7/X06,191
2/9/9/1/9/-/XX6/X27,183
7/XXX6/1/2/XX4/4,197
6/XX2/5/1/XX9/X12,190
3/2/X5/7/X7/6/5/5/2,167
7/7/XXXXX4/1/-/5,207
4/2/X2/1/XXX8/5/7,193
2/X-/-/XX7/5/X9/8,190
7/8/XXXX1/X9/2/0,201
5/-/4/XXXX7/XX32,209
8/5/-/7/X1/X9/X6/8,180
6/9/X9/1/5/3/1/XX28,171
X6/5/X1/4/-/X2/X88,185
X1/7/9/XX8/X-/X18,203
XX5/1/X9/5/7/-/X510,180
3/7/9/X2/7/XX6/5/8,192
6/1/XXXXXXXX24,249
XX5/X6/X6/X9/X39,207
XXXX7/X5/6/2/4/5,204
9/XXX4/X5/X4/-/10,196
4/X-/X-/3/6/-/4/-/3,156
6/5/5/XXXX5/X-/5,210
6/XX5/XXX3/1/-/4,193
3/1/XX2/XXXX8/4,215
4/2/4/4/4/X9/1/6/2/9,152
2/X-/XX-/X4/-/X57,192
4/X5/5/XX-/8/6/X102,183
X6/3/9/4/XX3/5/X85,187
XXXX6/XXX1/X89,244
7/-/X7/X8/X8/2/7/7,176
8/4/X7/8/X-/X8/5/10,179
6/XXX8/8/XXX5/8,229
XX3/X9/X1/X8/X53,201
X7/X8/3/-/XX4/6/10,175
X9/8/XX2/4/X7/8/3,185
X8/3/X3/XXX5/X82,208
XX3/5/X2/1/X4/X29,190
7/X9/XXX9/X5/X78,224
1/-/7/-/3/XXX9/7/4,180
5/XX8/X6/X-/XX41,207
X6/5/2/XX5/5/2/4/0,163
5/X9/XXX2/XX7/6,215
2/7/3/X2/X8/XXX510,207
X8/X2/X4/6/XX2/1,189
4/XX-/X8/X9/8/X106,196
9/4/5/1/X7/XX5/X90,184
XXX2/7/XX1/X-/1,201
3/XX-/X9/XXX1/7,208
8/6/XX7/8/5/4/6/1/7,174
5/X6/XXXXXXX02,242
XXX4/3/5/2/3/2/7/0,166
1/XX4/7/8/X5/X2/0,189
X6/3/X2/8/8/XX3/1,183
X3/XXXX8/X6/7/8,223
X-/X2/9/X1/XX1/1,191
2/XX1/X9/XXXX210,219
4/7/8/-/X2/3/6/5/X93,171
XXX9/X7/3/5/1/X98,205
XXXXX-/XXX7/7,244
1/XX-/X6/7/X-/X55,197
X4/7/-/XX8/6/9/-/9,179
X6/X-/XXXXXX65,247
4/5/4/2/5/9/X6/X7/10,167
XXXXXX8/6/X6/10,236
X6/X1/3/X3/7/XX32,188
XX7/-/4/XX2/6/4/4,177
7/XXXX5/XX9/X51,230
XXX-/1/-/7/1/XX38,183
XX6/XX-/3/X7/X010,191
XX8/X8/XXXX6/0,224
XXX1/XX1/XX5/5,212
2/XX2/3/9/XXX3/4,201
XX7/X6/-/X5/4/4/1,176
XX7/X3/2/XX5/4/3,191
X9/2/X3/XX7/7/X110,190
-/2/XX6/X4/6/X9/0,184
4/3/XXX2/-/9/XX010,186
XXX8/9/9/X5/X6/2,208
XX8/X1/XXX7/X19,225
-/5/XXXX1/X9/X27,215
5/X8/8/XXXXXX18,238
4/X1/XX6/8/XXX44,216
XXXXX-/5/5/XX89,235
9/6/4/7/XX9/5/9/X59,194
-/-/7/X4/X5/6/XX66,191
X3/X9/3/XXX2/X106,203
6/8/X1/6/XXX6/X34,207
XX6/XXX1/1/X9/3,201
X6/XXXX3/1/X5/3,207
X1/2/X7/XX-/XX60,194
1/5/8/X9/X5/1/XX49,191
3/2/3/7/2/XX4/X6/7,175
8/6/5/2/1/8/X6/X3/8,170
X3/8/XXX1/9/9/X78,212
-/X4/8/1/2/XXXX57,208
XX4/X6/2/8/4/5/X03,176
X-/XX7/XXX2/9/4,212
X8/XXX2/XX7/7/7,213
X9/7/9/X-/X3/4/9/5,184
XXX4/XX4/6/XX04,208
XX4/1/XX5/-/X1/9,189
9/8/X1/X4/8/XX9/0,195
XX7/2/XXXX1/X67,223
X3/X8/X3/2/6/1/3/2,164
7/XXX3/3/5/XXX610,221
6/XXXXX2/6/X5/7,225
8/XX9/4/X5/X7/X75,205
X7/9/XXXX3/XX08,220
5/X7/X1/7/4/5/-/4/7,167
XXXX5/XXX8/6/5,234
XX7/XX4/X6/5/3/1,190
2/XXXXX5/X8/X75,237
8/XXX2/1/XXX2/1,206
3/3/X2/XXX-/1/X104,190
X9/X6/X8/X-/9/X46,199
1/6/X9/XX7/-/8/X84,193
-/XXXX-/2/1/XX61,206
1/6/7/XXXX1/XX46,218
X5/XX4/X9/-/X1/2,186
X9/XX2/7/XX5/-/9,193
XX7/XXX1/X2/8/4,210
XX1/X4/1/5/X4/X34,184
XXX5/9/X7/XX5/5,214
-/1/7/2/X9/XX1/X32,176
XXXXX7/XXXX78,269
X4/2/2/XX9/X1/X30,186
XXXX8/2/8/6/XX02,206
7/X4/7/XX6/4/X8/3,190
XXX5/6/XXXXX76,251
8/XXX9/1/7/X8/4/1,192
5/X5/X8/3/XX3/X00,186
9/X6/XXX5/X2/7/5,207
XXXX2/X5/-/9/X73,211
X-/X7/XX7/X8/X100,199
7/9/2/X8/XX3/4/8/4,180
X7/X5/4/-/5/XXX80,195
XX2/XXXXX7/X68,243
5/2/XX-/8/X4/-/X22,174
1/-/6/3/XX3/-/8/-/2,152
9/6/X8/XXXXX3/5,224
7/XX8/3/5/2/XXX78,210
4/X5/7/9/8/9/4/X3/2,179
4/XX7/7/3/XX4/4/1,186
X3/XX3/5/4/XX8/1,191
X-/X9/9/X2/8/X8/3,190
X7/8/3/7/2/XXXX35,201
X2/X6/4/8/XX8/8/3,191
5/6/4/3/X8/XX5/X98,195
9/3/X9/X8/7/X-/X98,197
8/XX9/XXXX1/X02,222
5/7/6/XX2/9/XXX106,203
XXXX4/9/X6/5/8/7,213
-/X-/X5/X3/7/5/1/1,174
XXX2/1/XXX5/X28,218
3/-/7/X7/8/3/-/X9/2,160
XX6/XX1/XX7/4/9,207
1/-/5/XXXXX7/5/4,211
XXX4/X5/X6/XX100,207
3/8/-/8/X2/-/9/XX68,185
X3/2/X4/7/X3/8/X100,179
X9/XXXX9/5/4/5/4,207
3/-/X7/XXX6/6/8/7,197
5/XX5/-/XX5/X5/10,192
XX1/2/4/8/XX-/X26,183
7/X7/X5/5/7/4/4/X62,178
1/X-/X1/5/XXX2/9,206
X8/X2/XX9/X6/9/3,201
4/2/4/6/6/XXXXX96,222
7/XX1/X-/XX1/X107,201
5/6/X5/X6/7/X1/X04,187
XX3/XXXX3/X7/7,223
9/X9/5/4/4/XX3/-/0,166
9/3/8/1/XXXXX7/9,218
4/5/XXXX8/2/XX69,226
XX9/X3/X1/9/1/4/1,184
XXX1/-/XXX8/3/0,202
4/-/XX6/4/-/4/5/2/7,158
3/-/X5/-/8/XX2/X44,178
XX8/XX3/3/8/XX18,202
XX4/X8/1/2/XXX88,211
1/2/X-/X9/2/5/9/X04,172
5/5/XX3/XX-/X3/8,196
8/XX-/8/X6/XXX41,207
8/X4/3/3/X9/X1/X32,181
XXX-/1/3/-/5/X8/7,176
XX2/X6/4/X-/7/X63,192
8/XX5/5/4/X-/5/7/5,181
5/6/1/XXX-/2/6/X32,180
9/XXXX7/4/6/2/X76,212
X9/2/XXX5/3/XX09,199
4/X9/XXX3/X4/4/2,199
8/X5/1/4/1/9/XXX50,185
2/X9/X5/X4/7/X4/3,190
XXXX3/XXXX-/9,242
XX3/1/X7/4/7/X8/4,179
XX9/XXXXX9/X46,248
XXX9/4/1/7/3/X1/5,189
-/XXX3/-/XX8/7/2,200
6/1/8/X-/-/XXXX84,209
X7/3/X3/X8/2/6/8/10,171
1/9/XX9/X6/XX8/7,213
4/8/XXX2/XX1/5/1,197
5/XX4/5/6/3/3/X3/5,176
7/X4/XX-/X-/9/7/9,195
XXXX-/X6/7/XX104,214
3/7/5/X5/7/2/X3/X11,173
8/9/X4/X1/XXX2/3,204
6/7/XX2/5/X5/5/2/10,173
XX3/X9/6/9/5/9/X35,190
X5/1/X-/8/9/3/X6/9,180
XX4/XX2/5/XXX28,213
5/9/4/X5/X2/1/8/4/4,170
XX2/2/7/5/XXXX82,214
XX1/3/X3/-/7/XX16,179
X5/X8/XX-/-/X3/10,182
X9/2/-/1/3/5/9/7/X110,151
X5/X-/XXX2/X7/10,204
XX4/XX2/5/X2/X45,200
X3/X8/1/1/X1/X9/6,178
X4/6/X1/7/8/5/X9/9,185
X8/XX9/XX6/8/X104,209
-/4/XXX2/1/1/XX11,181
8/2/XX1/6/3/X-/X10,173
3/2/9/1/X2/XXXX42,202
XX9/XX1/X3/8/X17,206
X-/X2/9/3/XXXX83,221
4/X6/XX2/6/4/5/5/8,180
X8/X8/5/5/9/X5/X34,186
5/XX9/XX1/6/6/X69,207
X7/X1/5/X5/X6/3/4,182
5/X4/8/4/XXXX7/9,218
XXXX8/XXX2/9/8,237
7/XXXXX5/2/X6/4,221
XXXXX3/X-/-/1/6,210
XXXXXX6/4/XX50,240
XXXXX1/XXX-/6,237
5/X4/XXX8/8/XX68,226
X3/1/1/8/X6/XX7/7,184
X8/XX5/4/4/X9/3/4,180
7/X9/9/XX7/X1/X65,207
6/X5/XX5/X-/X7/10,197
XXXX-/X2/X5/X110,214
X6/X9/XX3/4/XX59,206
6/6/X3/6/XX5/5/X110,186
7/5/X9/6/X7/1/XX25,181
7/9/-/8/8/7/9/-/6/X109,168
XX-/XX7/XXX6/1,214
5/XXX8/X6/X5/8/8,214
XXX3/-/9/X3/6/5/2,185
XX-/-/1/XXXXX36,213
6/6/XX5/X-/XX4/9,204
3/XX8/XX4/2/X2/2,196
XX2/XXX7/4/X3/8,211
3/XX-/-/1/XX2/X41,178
2/4/X8/8/4/7/4/4/6/8,165
X-/6/4/-/XX8/XX02,180
XX3/7/XX-/5/X2/8,193
8/X4/XXX5/1/X2/3,199
X1/X1/X1/3/8/XX07,188
XX4/2/1/7/X2/X9/5,179
5/X2/XX2/9/1/1/2/10,167
XX3/X6/-/XXX4/7,204
5/XX1/1/X-/4/-/4/7,167
4/7/X3/XXX1/9/7/8,202
8/XXX3/XXX5/4/4,216
4/6/XX7/5/X-/4/X23,187
3/-/2/X9/XXX5/8/9,194
-/X5/8/-/XXX6/X10,195
XX9/2/4/6/4/8/6/7/10,168
4/4/9/X4/4/2/XX8/9,186
1/-/XX6/X-/7/XX53,196
6/5/XX2/X9/X5/4/1,182
5/6/X2/4/X-/XXX00,190
X8/1/X-/-/X2/XX43,182
4/XXXXXX8/6/1/5,230
X2/X1/5/7/XX8/4/5,189
8/8/4/XX3/6/X8/6/4,181
X9/1/5/X-/XXX4/10,192
X9/XX6/3/3/7/1/9/10,171
9/5/X7/XXX7/XX53,215
XXXX8/XXXXX71,263
8/XXXXX5/4/3/8/2,212
XXXXX9/X8/9/X103,233
X3/X4/XX2/2/XX32,192
2/7/3/9/X8/XX6/X98,202
-/1/6/6/2/2/XXXX72,193
XXXX6/X8/1/3/X82,210
6/X7/XXX6/X6/X14,211
4/XX5/X1/1/X-/6/0,182
7/X3/X3/2/XXX7/9,208
XX3/3/9/X7/X-/5/3,183
5/XX5/-/1/X4/X8/6,182
1/XX-/XXXX8/9/10,219
5/9/XXX9/X8/6/X20,206
3/3/X2/X-/XX-/4/6,183
4/8/1/9/X-/7/XXX58,203
7/-/2/XX8/4/2/1/X05,162
4/X2/2/6/XXXXX106,217
9/X-/X5/XXX6/X106,214
X8/X1/2/4/8/6/4/X33,170
8/XX1/4/XX1/XX78,208
XXX4/XX2/9/3/1/8,197
9/6/8/XX6/X8/2/8/9,189
1/X3/1/9/X8/XXX79,213
7/6/XXX1/X3/1/X15,194
6/3/-/6/X7/6/XX-/3,168
XX8/X3/XX2/XX10,202
1/XX2/X9/XX7/5/5,199
XXXX6/2/X7/XX20,212
7/XXXX5/XXXX26,245
XXXX5/XXXX2/5,242
7/XX2/XX1/5/3/X04,185
2/7/X3/XXXXX8/10,227
XX9/X4/X3/XXX64,225
XX4/XX4/X-/6/X103,199
9/XXXXXX7/9/5/4,235
5/XXX2/X7/XXX86,234
XXX1/-/XXXX7/1,219
X6/7/9/XX1/XXX37,210
X8/6/XXX6/9/9/X79,216
XXXX8/2/XX9/X100,221
X6/6/X2/7/X-/X4/9,192
4/7/X9/XX6/X9/9/10,194
X9/X4/-/4/X9/XX67,193
4/4/8/-/5/9/1/6/X-/1,154
8/XXXX7/1/XXX65,235
8/XX6/8/XX5/XX23,206
9/XX7/X2/XXXX78,239
-/4/XXXXX7/1/X05,217
XX6/XX8/6/-/9/X010,191
XXX6/XX2/5/1/X22,198
9/3/X3/3/8/4/-/X2/2,160
-/XX-/9/XXXXX85,240
5/X8/8/XX3/X1/X26,199
9/X3/X9/9/4/8/XX810,207
X3/6/1/-/9/-/XX1/8,165
XX7/XXXX5/X8/4,226
4/1/XX7/-/6/XXX13,189
X-/X4/X4/XXXX07,217
7/XX6/XX3/7/7/X71,201
X6/XX-/6/6/-/X1/5,177
4/2/XX6/1/9/XXX30,194
6/7/X5/8/7/XX4/X70,193
7/XXX7/2/XXXX52,231
1/3/1/XXX1/9/XX106,193
XXXX1/4/X8/2/X108,207
-/X7/XX5/1/XX9/1,196
5/6/6/5/1/XXXXX210,206
X2/X3/7/-/XX5/5/10,179
8/X5/XXXXX4/-/9,223
5/4/1/9/XX9/XX6/7,196
5/X5/X4/2/X-/8/X36,189
2/-/XXX8/XX-/X810,216
X8/2/2/X6/XX2/X86,190
X3/XX3/2/4/9/4/6/10,170
6/3/3/8/8/9/X-/2/X13,167
1/9/3/5/-/X7/X3/8/4,169
4/-/XXX1/6/-/2/8/8,175
5/4/2/XXX4/2/XX99,209
3/2/XX5/X-/-/2/1/10,162
XXX6/8/1/2/XXX62,211
XXXX5/1/XX-/X82,216
X4/4/4/XXX5/9/X82,202
X1/1/-/5/1/3/-/-/X69,145
XX-/5/XX2/X3/9/1,187
4/2/-/X8/X7/1/6/X09,168
XX2/9/X6/X2/7/X01,189
X3/7/XXX2/XX-/2,201
X8/5/XXXX2/5/6/5,203
8/XXXXX7/X5/4/0,221
9/XX2/2/8/6/2/5/X99,183
3/2/4/1/-/9/1/4/XX30,147
4/X5/4/4/XX1/-/X102,173
4/3/XXX6/XX1/X62,208
2/3/-/8/8/X7/9/-/X30,161
9/4/-/XXXXX-/X78,219
8/9/X-/5/XX3/8/X93,197
XX-/X1/8/XXXX23,215
6/X4/3/7/6/5/9/4/2/5,161
X9/8/XX6/XX9/X65,214
X8/XXXXXXX2/3,245
3/9/XXXX8/XXX08,235
XXX8/3/5/7/9/5/5/2,184
2/X8/XXX9/XX1/0,210
XXXXX-/XX1/5/9,225
XX1/XX7/X8/2/1/5,186
X7/9/4/7/XX9/XX65,206
X4/1/XX2/X6/XX48,199
X4/8/9/7/X6/1/X1/5,180
8/3/3/X3/X2/X4/X32,181
XX1/7/5/X4/3/-/X86,180
X7/X1/X8/6/X2/X910,206
XXXX-/1/XX-/X54,210
X1/X4/3/5/X-/X2/5,183
XXXXXXX4/7/7/4,242
4/6/X3/3/X6/6/X2/2,177
X5/4/X2/5/XX7/7/2,185
XX9/XX3/XXXX50,232
6/2/X7/2/3/XXXX67,206
3/XXXX2/X6/XX66,230
5/3/2/6/XXXXXX93,232
X3/XXX3/XXX3/9,225
5/-/X4/8/XX1/2/1/5,167
XX2/X2/XXXXX710,245
XXX-/X2/X-/X4/8,208
X5/X6/XXXXXX105,238
5/X8/5/1/7/-/4/-/5/4,146
X9/XXXX6/9/X9/0,215
1/4/X6/X-/6/6/X2/7,183
4/X2/2/XX5/8/X6/8,193
XX2/X3/X8/XXX63,217
XX7/XX-/8/1/-/X76,189
9/9/XXX9/XX8/X08,224
1/8/7/X7/X5/X9/X20,187
7/X3/XX2/1/XXX89,218
1/XX6/5/X5/7/X6/4,192
5/2/XXX7/XXX-/2,211
9/2/X7/X9/XXX3/6,201
X-/XX9/XX3/X1/3,205
X1/X3/7/XX1/1/X46,189
X3/XXX8/4/2/4/X03,191
XX8/X9/5/XXX3/7,213
XX7/1/6/X-/3/8/4/7,176
XXXX8/5/2/8/X8/6,209
1/5/7/XXX8/X7/6/2,198
X-/X2/4/X1/9/4/5/0,172
9/XXXXXX2/2/5/9,228
1/5/XX7/X8/X3/X97,208
XX8/XXX7/1/X2/10,208
XXX7/XXXXX-/0,237
1/2/8/XX2/6/XXX101,192
X7/X8/-/4/X3/X3/0,174
3/2/5/1/9/X6/5/8/4/9,163
2/X9/X6/X6/5/XX52,197
X4/XXX9/X1/X7/10,211
X9/9/7/6/9/9/XX-/8,188
XX-/XX2/X7/X8/9,201
9/3/3/X1/8/XX1/1/2,168
XXXXX-/X1/X3/8,228
X9/XXXX9/5/XX31,221
XXX1/XXXXX3/10,236
X2/X9/XX5/1/XX08,194
9/4/XX-/XXXX1/4,209
7/XX4/X1/XXX3/2,209
-/1/X3/3/X2/8/4/6/10,164
X5/XXX4/7/X-/X01,202
4/X4/XX-/XX5/X910,215
9/8/8/X3/X2/7/X3/4,187
5/-/8/X6/1/5/8/X2/2,164
9/8/X7/XX4/X4/-/7,189
XX7/3/XXX6/5/X86,215
XX3/XX4/7/XXX32,212
4/3/4/X9/7/2/X4/4/7,167
6/1/8/X5/XX6/XX39,200
3/XXXXXX4/4/X106,236
6/5/XXX3/1/9/1/7/9,185
X-/7/8/XX6/9/-/4/6,180
2/X9/-/9/7/X7/3/4/10,165
XX6/XX2/X5/4/1/8,191
XXX3/1/X6/4/XX30,194
8/XXXX8/X9/X7/8,226
X6/4/8/XX4/X9/6/10,184
-/XX1/-/X1/X2/3/4,178
2/7/XXX5/3/XXX91,224
X6/9/X5/-/5/3/2/X07,166
XXX-/6/-/XXX9/2,207
8/X-/XX9/X-/7/-/8,194
5/XX3/7/XX3/XX53,206
4/X9/2/1/2/8/8/1/X010,154
6/X7/XXXXX1/3/10,216
3/4/3/X9/X6/X4/X104,183
XX9/4/XX3/5/XX810,217
3/XXXXXXXX1/9,260
-/3/4/4/X8/2/X8/1/6,160
X1/9/X7/XXXX3/9,221
9/3/6/XXXXXXX53,242
7/2/XXXXXXXX93,263
3/XXXXXXXX2/0,252
X3/-/X6/5/6/3/9/9/6,168
X1/XX6/X5/XXX07,213
9/XX9/X9/XX9/2/1,201
8/XX6/XX3/7/XX03,199
X9/XXXX6/2/-/X53,206
3/-/6/XXXX7/X-/6,209
3/-/X1/-/XXX2/X63,191
X9/XXXXX3/9/1/9,222
3/X1/7/XXX4/XX68,221
-/X7/4/XXXX5/X90,218
9/8/XX6/7/X2/X-/8,199
X6/X9/XX-/XX9/4,203
3/9/6/-/9/XXXX-/7,201
XX8/X7/2/XX9/X02,201
X8/1/X6/-/XX1/X57,184
XXX4/X2/1/9/XX62,208
X3/4/X5/XXX-/X74,205
X6/9/8/4/3/4/6/XX41,173
7/8/2/2/XXXXXX22,218
X4/XXX2/X8/X8/5,207
X2/XX3/XX7/X6/2,202
XX5/X7/3/X2/3/1/7,179
8/XX7/XXX8/XX10,217
XXX3/6/XXXXX010,231
XX1/X7/XXX9/-/2,202
X4/X1/4/8/7/9/-/7/1,166
9/9/X9/XXXX8/-/0,207
XXXX9/X2/1/XX103,216
3/X7/3/3/8/1/5/XX100,163
2/X4/X4/6/5/4/-/2/1,158
X4/4/4/XXXX6/X910,224
7/7/XXXX2/5/XX31,211
XXXX6/-/XX3/X510,221
X1/X6/X8/XX2/9/0,191
3/XXX5/5/5/XXX510,222
XX6/2/-/4/XX4/X22,180
5/3/XXXX2/8/2/4/8,197
X7/XXXXX3/XX58,241
9/X2/X4/XX6/9/X98,212
6/X9/XXX4/-/6/5/6,191
7/X1/8/6/7/XXX7/9,207
XXXX8/9/XXX-/2,229
X1/XXXXXX-/X710,246
XX1/6/XXXXX2/0,219
XXXX3/X1/4/3/X10,201
2/XXX8/2/XXX9/2,221
X4/5/X1/2/XXX8/1,196
3/-/X4/3/X7/5/XX27,179
4/X2/X2/XX3/XX29,206
XX2/X3/XX-/3/7/7,189
X8/XX3/6/-/9/X1/9,187
XX6/XX2/XXX7/5,220
6/X5/-/XXX1/-/X710,197
7/6/X5/6/4/XX8/X71,192
XX3/X-/XXX8/-/0,201
XX6/XX7/5/XX-/5,203
XXXXXX6/2/8/7/3,226
XX4/1/9/7/2/5/-/1/7,156
XXX6/7/XX9/X1/7,219
X-/XX6/7/X-/X-/8,201
XXX5/X6/2/X9/8/6,201
X4/2/X5/5/X3/X4/9,186
6/1/XXXX1/XXX86,234
1/XXX4/XXXXX27,245
XXXX6/2/X3/5/X102,207
X2/XX5/-/3/8/8/X42,180
XXXX1/1/9/X1/X43,208
7/9/2/XXXX3/XX49,221
XX6/XXXXXXX910,275
3/1/7/9/6/X8/X8/X62,181
4/XX7/XXXX9/X00,226
3/XXX2/5/3/3/X9/9,192
5/XX7/X5/XX3/9/7,206
-/XX4/X2/XX8/6/10,200
6/XX5/X2/6/X2/X78,206
2/5/2/XX7/2/2/XX52,180
X9/X-/X4/1/2/X9/4,177
XXX-/-/5/1/1/XX27,178
XXX6/6/4/9/8/X6/9,202
XXXX4/XXXXX910,273
7/X3/XXXXX7/3/9,229
7/3/X2/XX9/X1/X86,206
6/XX7/XXX6/X9/10,215
8/9/4/2/6/XX2/XX97,198
XXXXXXXXX1/1,262
1/2/8/9/X1/X9/4/8/2,173
3/5/X3/XXX1/XX25,205
2/1/X7/X3/X9/X3/1,182
X2/3/X-/8/7/7/X9/7,182
5/7/XX9/9/7/7/XX82,207
7/XX3/2/XX8/-/X36,192
XX5/X-/7/X5/9/X29,202
7/X3/3/-/4/1/X9/X93,170
8/5/XXXXX-/XX36,227
-/6/X4/XX4/1/XX92,201
2/4/XX7/5/XXXX20,210
-/X5/4/3/4/X7/-/X06,167
7/8/X1/X4/XX-/X57,200
7/X9/-/1/3/1/X1/X69,170
6/-/7/4/4/XX5/XX35,181
XXXX9/XX5/XX38,238
X7/X4/XX8/8/4/X610,204
8/7/X-/1/XX4/X6/0,182
-/4/-/XXX3/X3/2/3,182
1/XXX9/6/X3/X3/9,214
X-/3/6/XXX3/2/2/5,181
8/XXX2/4/3/XX3/9,201
8/6/XXXXXXXX55,261
X4/4/XX5/3/XXX44,204
XXX5/9/X4/XXX60,226
-/5/9/-/XX8/X9/X310,190
1/6/8/7/X-/XXXX310,212
8/XX8/XX8/6/X5/6,208
4/X1/5/4/XXXXX31,216
3/2/X-/XXXXX6/9,227
9/9/XXX9/-/XX6/2,206
4/X1/XX5/XXXX67,234
1/8/7/XX-/3/4/7/5/7,171
2/2/2/2/XX7/XX-/5,178
X7/4/7/3/XX9/XX27,194
4/2/6/X9/3/XXX3/4,188
-/6/XX8/9/8/3/XX17,193
6/X1/6/X4/7/8/5/2/0,168
9/4/4/XXXXX3/4/7,212
2/X5/X6/4/2/-/3/5/10,156
